image,gt_chars,extra_dets
ScreenShot2025_0601_222959964,1,0
ScreenShot2025_0603_002555410,2,0
ScreenShot2025_0603_185227424,0,0
ScreenShot2025_0603_190344879,1,0
ScreenShot2025_0603_200659724,1,0
ScreenShot2025_0603_212808721,1,0
ScreenShot2025_0603_232638586,1,0
ScreenShot2025_0605_002348711,1,0
ScreenShot2025_0605_011315608,4,0
ScreenShot2025_0605_012654534,3,0
ScreenShot2025_0605_220744434,1,0
ScreenShot2025_0606_224054579,4,0
ScreenShot2025_0606_224054723,4,0
ScreenShot2025_0606_224054897,4,0
ScreenShot2025_0608_012814885,2,0
ScreenShot2025_0608_015343816,2,0
ScreenShot2025_0608_165736742,4,0
ScreenShot2025_0609_225826034,4,0
ScreenShot2025_0610_221802993,2,0
ScreenShot2025_0610_232729870,1,0
ScreenShot2025_0611_005002725,1,0
ScreenShot2025_0611_005446947,1,0
ScreenShot2025_0611_005512820,1,0
ScreenShot2025_0611_214658658,4,0
ScreenShot2025_0611_214836234,5,0
ScreenShot2025_0611_222336733,1,0
ScreenShot2025_0612_010928858,1,0
ScreenShot2025_0612_231110558,1,0
ScreenShot2025_0612_235445974,1,0
ScreenShot2025_0613_003730493,4,0
ScreenShot2025_0613_005530602,2,0
ScreenShot2025_0613_005752203,5,0
ScreenShot2025_0614_175120833,1,0
ScreenShot2025_0614_230426632,4,0
ScreenShot2025_0614_230429112,5,0
ScreenShot2025_0615_235958687,3,0
ScreenShot2025_0616_002606422,2,0
ScreenShot2025_0616_233344287,3,0
ScreenShot2025_0617_233145858,3,0
ScreenShot2025_0618_002827883,4,0
ScreenShot2025_0620_005535152,3,0
ScreenShot2025_0624_015303007,1,0
ScreenShot2025_0624_015309439,2,0
ScreenShot2025_0624_022310532,1,0
ScreenShot2025_0625_015027070,2,0
ScreenShot2025_0625_015130705,1,0
ScreenShot2025_0625_015601294,1,0
ScreenShot2025_0626_030820678,1,0
ScreenShot2025_0626_030858130,1,0
ScreenShot2025_0626_224444223,2,0
ScreenShot2025_0626_232541210,1,0
ScreenShot2025_0626_234150484,1,0
ScreenShot2025_0627_002227657,2,0
ScreenShot2025_0627_004443121,7,0
ScreenShot2025_0627_004522821,2,0
ScreenShot2025_0627_004523057,2,0
ScreenShot2025_0627_004523425,2,0
ScreenShot2025_0627_014710285,2,0
ScreenShot2025_0628_013613989,1,0
ScreenShot2025_0628_034939369,2,0
ScreenShot2025_0628_035316326,3,0
ScreenShot2025_0628_154153169,4,0
ScreenShot2025_0628_185737199,1,0
ScreenShot2025_0628_203139739,1,0
ScreenShot2025_0629_024027554,2,0
ScreenShot2025_0629_235248442,2,0
ScreenShot2025_0630_005450691,1,0
ScreenShot2025_0701_021554445,2,0
ScreenShot2025_0701_022211154,1,0
ScreenShot2025_0703_004609925,1,0
ScreenShot2025_0704_002543881,2,0
ScreenShot2025_0704_014603280,1,0
ScreenShot2025_0705_004724126,3,0
ScreenShot2025_0705_164234954,2,0
ScreenShot2025_0706_233913921,2,0
ScreenShot2025_0707_000106450,1,0
ScreenShot2025_0710_223051361,2,0
ScreenShot2025_0710_234417250,2,0
ScreenShot2025_0711_234602177,1,0
ScreenShot2025_0711_234615230,1,0
ScreenShot2025_0712_205233231,1,0
ScreenShot2025_0712_205646035,1,0
ScreenShot2025_0719_120804207,3,0
ScreenShot2025_0719_124333150,2,0
ScreenShot2025_0721_234200925,1,0
ScreenShot2025_0722_000752656,6,0
ScreenShot2025_0725_000708782,1,0
ScreenShot2025_0725_002305704,2,0
ScreenShot2025_0725_004807157,1,0
ScreenShot2025_0725_013528867,2,0
ScreenShot2025_0730_235852392,1,0
ScreenShot2025_0731_222521138,1,0
ScreenShot2025_0808_174925780,1,0
ScreenShot2025_0816_022018207,1,0
ScreenShot2025_0816_081057260,7,0
ScreenShot2025_0823_012357911,1,0
ScreenShot2025_0823_013250683,1,0
ScreenShot2025_0824_181921092,5,0
ScreenShot2025_0824_182904697,1,0
ScreenShot2025_0824_185603830,1,0
ScreenShot2025_0824_190625189,1,0
ScreenShot2025_0824_191133505,4,0
ScreenShot2025_0824_192558690,1,0
ScreenShot2025_0824_193038509,2,0
ScreenShot2025_0824_195950693,1,0
ScreenShot2025_0824_230257290,1,0
ScreenShot2025_0824_234451021,2,0
ScreenShot2025_0826_220637263,1,0
ScreenShot2025_0829_003907796,1,0
ScreenShot2025_0829_010530908,2,0
ScreenShot2025_0830_220822927,4,0
ScreenShot2025_0831_183035902,1,0
ScreenShot2025_0831_205758086,2,0
ScreenShot2025_0901_204543283,1,0
ScreenShot2025_0903_123002085,1,0
ScreenShot2025_0904_015050485,2,0
ScreenShot2025_0904_160424103,1,0
ScreenShot2025_0904_161112506,1,0
ScreenShot2025_0906_192532867,1,0
ScreenShot2025_0906_193144854,1,0
ScreenShot2025_0906_193317459,2,0
ScreenShot2025_0906_232835110,1,0
ScreenShot2025_0907_001349003,2,0
ScreenShot2025_0907_154318246,1,0
ScreenShot2025_0907_162438952,1,0
ScreenShot2025_0907_162523725,1,0
ScreenShot2025_0907_162729172,1,0
ScreenShot2025_0907_162851738,1,0
ScreenShot2025_0907_163125085,1,0
ScreenShot2025_0907_163307082,2,0
ScreenShot2025_0907_163524460,1,0
ScreenShot2025_0907_163608470,1,0
ScreenShot2025_0907_191809157,1,0
ScreenShot2025_0907_202806735,1,0
ScreenShot2025_0907_213756061,3,0
ScreenShot2025_0908_213312100,1,0
ScreenShot2025_0908_213331005,1,0
ScreenShot2025_0908_213400217,1,0
ScreenShot2025_0909_010055252,1,0
ScreenShot2025_0912_003118428,2,0
ScreenShot2025_0913_133752880,1,0
ScreenShot2025_0913_135614639,1,0
ScreenShot2025_0914_225322805,1,0
ScreenShot2025_0915_011054060,2,0
ScreenShot2025_0917_004905314,1,0
ScreenShot2025_0918_002242376,2,0
ScreenShot2025_0918_002448102,1,0
ScreenShot2025_0918_002559824,1,0
ScreenShot2025_0918_230927777,1,0
ScreenShot2025_0920_083620202,3,0
ScreenShot2025_0920_123234075,1,0
ScreenShot2025_0922_004043374,3,0
ScreenShot2025_0922_224043986,1,0
ScreenShot2025_0923_002307563,2,0
ScreenShot2025_0927_100258427,1,0
ScreenShot2025_0927_131621375,1,0
ScreenShot2025_0927_134834860,1,0
ScreenShot2025_0927_134906901,1,0
ScreenShot2025_1003_002704559,2,0
ScreenShot2025_1003_010057460,2,0
ScreenShot2025_1003_010250714,1,0
ScreenShot2025_1004_193654280,2,0
ScreenShot2025_1004_234213329,1,0
ScreenShot2025_1005_131440019,1,0
ScreenShot2025_1005_131505284,1,0
ScreenShot2025_1006_203345331,1,0
ScreenShot2025_1006_203454033,2,0
ScreenShot2025_1006_203614358,2,0
ScreenShot2025_1006_210503027,3,0
ScreenShot2025_1006_215133896,1,0
ScreenShot2025_1006_220836898,1,0
ScreenShot2025_1007_085415487,1,0
ScreenShot2025_1007_085607208,1,0
ScreenShot2025_1007_085629025,1,0
ScreenShot2025_1007_221354878,1,0
ScreenShot2025_1008_111940305,1,0
ScreenShot2025_1008_113011236,2,0
ScreenShot2025_1008_200348053,1,0
ScreenShot2025_1008_220909737,1,0
ScreenShot2025_1008_225450080,1,0
ScreenShot2025_1009_010029890,1,0
ScreenShot2025_1009_010057310,1,0
ScreenShot2025_1009_011548601,1,0
ScreenShot2025_1009_193629313,3,0
ScreenShot2025_1009_203927312,2,0
ScreenShot2025_1011_015146398,1,0
ScreenShot2025_1011_031724705,2,0
ScreenShot2025_1011_104746608,2,0
ScreenShot2025_1011_105354488,1,0
ScreenShot2025_1011_105652701,1,0
ScreenShot2025_1011_111835902,1,0
ScreenShot2025_1012_102530892,1,0
ScreenShot2025_1012_102640812,1,0
ScreenShot2025_1012_102811587,1,0
ScreenShot2025_1015_021459396,1,0
ScreenShot2025_1015_021525460,1,0
ScreenShot2025_1015_021604108,1,0
ScreenShot2025_1015_021623232,1,0
ScreenShot2025_1015_021628204,1,0
ScreenShot2025_1015_021808915,1,0
ScreenShot2025_1015_021825024,1,0
ScreenShot2025_1101_091534412,1,0
ScreenShot2025_1101_091553712,2,0
ScreenShot2025_1115_091300248,1,0
ScreenShot2025_1115_091405925,1,0
ScreenShot2025_1119_141739263,1,0
ScreenShot2025_1119_142153717,1,0
ScreenShot2025_1121_223152632,1,0
ScreenShot2025_1124_010446831,2,0
ScreenShot2025_1126_001922792,1,0
ScreenShot2025_1126_002056746,1,0
ScreenShot2025_1126_002215416,1,0
