image,gt_chars,extra_dets
ScreenShot2024_0314_171203794,1,0
ScreenShot2024_0314_172457341,1,0
ScreenShot2024_0314_173633232,1,0
ScreenShot2024_0314_174631192,1,0
ScreenShot2024_0314_175023482,1,0
ScreenShot2024_0314_180227902,1,0
ScreenShot2024_0314_180322771,3,0
ScreenShot2024_0314_180431404,1,0
ScreenShot2024_0314_185426962,0,0
ScreenShot2024_0314_190135869,1,0
ScreenShot2024_0314_191056468,1,0
ScreenShot2024_0314_191523935,1,0
ScreenShot2024_0314_191725868,0,0
ScreenShot2024_0314_191918145,1,0
ScreenShot2024_0314_192120569,1,0
ScreenShot2024_0314_193623353,1,0
ScreenShot2024_0314_200719773,1,0
ScreenShot2024_0314_205418870,0,0
ScreenShot2024_0314_212011031,0,0
ScreenShot2024_0314_213754583,1,0
ScreenShot2024_0314_214155680,0,0
ScreenShot2024_0314_214455625,1,0
ScreenShot2024_0314_214544774,1,0
ScreenShot2024_0314_215800351,1,0
ScreenShot2024_0314_220100769,1,0
ScreenShot2024_0315_011922328,1,0
ScreenShot2024_0315_013010637,1,0
ScreenShot2024_0315_013317889,0,0
ScreenShot2024_0315_013933452,1,0
ScreenShot2024_0315_014952877,1,0
ScreenShot2024_0315_015155396,1,0
ScreenShot2024_0315_015624003,1,0
ScreenShot2024_0315_015751754,1,0
ScreenShot2024_0315_022643797,2,0
ScreenShot2024_0315_023016621,1,0
ScreenShot2024_0315_023143333,2,0
ScreenShot2024_0315_023628803,5,0
ScreenShot2024_0315_025731620,1,0
ScreenShot2024_0315_045158360,1,0
ScreenShot2024_0315_045722985,1,0
ScreenShot2024_0315_050405529,1,0
ScreenShot2024_0315_050632060,1,0
ScreenShot2024_0315_051404470,1,0
ScreenShot2024_0315_052745678,1,0
ScreenShot2024_0315_053810911,0,0
ScreenShot2024_0315_054123046,1,0
ScreenShot2024_0315_054303393,1,0
ScreenShot2024_0315_061406797,1,0
ScreenShot2024_0315_061909958,1,0
ScreenShot2024_0315_063430238,1,0
ScreenShot2024_0315_063603856,1,0
ScreenShot2024_0315_064025788,1,0
ScreenShot2024_0315_071444471,1,0
ScreenShot2024_0315_072200682,1,0
ScreenShot2024_0315_082237155,1,0
ScreenShot2024_0315_103534181,1,0
ScreenShot2024_0315_103642985,1,0
ScreenShot2024_0315_103717600,1,0
ScreenShot2024_0315_105132062,1,0
ScreenShot2024_0315_232747120,1,0
ScreenShot2024_0315_233027624,0,0
ScreenShot2024_0315_233437309,1,0
ScreenShot2024_0315_233552825,1,0
ScreenShot2024_0315_235329183,0,0
ScreenShot2024_0316_003257290,1,0
ScreenShot2024_0316_020345617,1,0
ScreenShot2024_0316_020732767,1,0
ScreenShot2024_0316_022405053,1,0
ScreenShot2024_0316_022619703,1,0
ScreenShot2024_0316_023038785,1,0
ScreenShot2024_0316_023312439,1,0
ScreenShot2024_0316_023414692,1,0
ScreenShot2024_0316_023542186,1,0
ScreenShot2024_0316_025815402,1,0
ScreenShot2024_0316_151107968,1,0
ScreenShot2024_0316_151305925,1,0
ScreenShot2024_0316_163258180,1,0
ScreenShot2024_0316_163516087,0,0
ScreenShot2024_0316_163807855,1,0
ScreenShot2024_0316_164531172,1,0
ScreenShot2024_0316_181250390,1,0
ScreenShot2024_0316_181501755,1,0
ScreenShot2024_0316_181531270,1,0
ScreenShot2024_0316_181604304,1,0
ScreenShot2024_0316_181737338,1,0
ScreenShot2024_0316_182000455,1,0
ScreenShot2024_0316_182031392,1,0
